CCLE-ID,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
1321N1_CENTRAL_NERVOUS_SYSTEM,0.971490195,0,0,0,0,,0,0,0,,0,0,,0,0,0,0.999682173,0.990606477,0,0,0.624849528,0.668345124,0.981465641,0.299862206
143B_BONE,,,,,,,,,,,,,,,,,,,,,,,,
22RV1_PROSTATE,0.958787289,0.708759487,0,0,0,0.989904417,0,0,0.019086838,0,0,0,0,0.528388053,0,0,0.998971495,0.996538973,0.329266667,0.147594988,0.481994271,0.265093267,0.987617656,0
2313287_STOMACH,,,,,,,,,,,,,,,,,,,,,,,,
253JBV_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
253J_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
42MGBA_CENTRAL_NERVOUS_SYSTEM,0.993370238,0.664733768,0.425256312,0,0,,0.591530949,0,0,,0,0.266176224,,0,0,0,0.999682173,0.991380252,,0,0.646551132,0.971344084,0.995088252,0
5637_URINARY_TRACT,0.991147151,0.374710739,0.600970417,0,0.695060939,0.991619454,0,0,0.711529046,0.065580666,0,0,0,0.095549524,0,0.532693446,0.999634979,0.993901007,0.866916806,0.104232967,0.690863192,0.254724741,0.978312271,0.575199574
59M_OVARY,,,,,,,,,,,,,,,,,,,,,,,,
639V_URINARY_TRACT,0.981238188,0.782977328,0,0,0,0.99130391,0,0,0,0,0,0,0,0.292184115,0,0,0.9996875,0.989811718,0.652500212,0,0.722802401,0.585755318,0.994535339,0.478881538
647V_URINARY_TRACT,,,,,,,,,,,,,,,,,,,,,,,,
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,0.947178595,0.467397273,0.092264593,0,0.470879436,0.995625995,0.958388414,0,0.893815472,0.761195704,0.763684541,0,0.894052461,0.701278478,0.590569764,0.787553928,0.999682173,0.998562108,0.977117799,0.202179909,0.894943841,0.901136592,0.995773946,0.298419476
769P_KIDNEY,0.98102515,0,0.866086245,0,0.709362835,0.907397762,0,0,0.867817357,0,0.30108726,0.818216041,0.162547171,0.017125964,0.106198609,0,0.974429864,0.989068243,0.867206782,0,0.167613328,0.467675388,0.935926579,0.679120064
786O_KIDNEY,0.965058722,0.048356533,0,0,0,0.973847482,0,0,0.102745593,0,0,0,0,0,0,,0.973335937,0.970289225,0.171135068,0.075773716,0,0,0.991146879,
8305C_THYROID,0.953074843,0.381170511,0,0,0,0.937147126,0,0,0,0.295593722,0,0.931944422,0.332586467,0.220437467,0,0.335828662,0.99875644,0.99365862,0.872472733,0,0.683467567,0,0.984763611,0
8505C_THYROID,0.964728132,0,0,0,0,0.984412998,0,0,0,0.143433929,0,0.952764578,0,0,0,0,0.998724027,0.991393483,0.822959006,0,0.186362028,0.038791835,0.989181343,0
8MGBA_CENTRAL_NERVOUS_SYSTEM,0.970630921,0.513957381,0.438564181,0,0.034826458,,0,0.994751799,0.346672512,,0,0,,0,0,0,0.9996875,0.985905469,,0,0.702624559,0.93319169,0.960341252,0.71935755
A101D_SKIN,,,,,,,,,,,,,,,,,,,,,,,,
A1207_CENTRAL_NERVOUS_SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,
