JFCR label,Carboquone,Melphalan,Cytarabine,5-Fluorouracil,Aclacinon,Actinomycin-D,Bleomycin,Doxorubicin,Epirubicin,Mitomycin-C,Etoposide,Vinblastine,Vincristine,6-Mercaptopurine,Methotrexate,6-Thioguanine,Neocarzinostatin,Pirarubicin,Amsacrine,CPT-11,Carboplatin,Cisplatin,Paclitaxel,Docetaxel,Oxaliplatin,E7010,ICRF-193,HCFU,Mitoxantrone HCl,FMDC,Navelbine,wortmannin,Gemcitabine,Cl-F-ara-A,SN-38,Rapamycin,PD98059,LY294002,4-Hydroperoxycyclophosphamide,Nedaplatin,U0126,Akt inhibitor,Akt inhibitor II,(-)-Deguelin,Akt Inhibitor III,PX-866 ,Akt Inhibitor X,Akt Inhibitor IX,Akt Inhibitor IV,Akt Inhibitor V,Akt Inhibitor VIII,AS605240,IC87114,PI103,TGX221,Akt Inhibitor XI,NVP-BEZ235,Perifosine,PI3K-alpha inhibitor IV,Temsirolimus,RAD-001,GDC-0941,AZD6244,E7070,Semaxanib,ZSTK474,Topotecan
A549_Lu,0.510420461,0.431824235,0.841583545,0.735700946,0.571399874,0.761279336,0.333766576,0.508200108,0.387610972,0.561062882,0.581486934,0.462216956,0.598751655,0.163727271,0.812672105,0.363212722,0.440592483,0.460230049,0.714067091,0.140992382,0,0.33778402,0.83461266,0.840187476,0.55177288,0.779713755,0.40425297,0.831665223,0.438177382,0.812903002,0.72911733,0.393436974,1,0.75393715,0.512025166,0.527605778,0,0.508019341,0.169273194,0.487900383,0.176259207,0.083308342,0.069765916,0.110580739,0.196803019,0.625582191,0.535616101,0.69490268,0.428943428,0.021893091,0.328666314,0.692202838,0.257303841,0.5715252,0.196549609,0.165442171,0.620887135,0.117633191,0.46740496,0.156110113,1,0.353671068,0.249761776,0.18676204,0.319543165,0.381446257,0.609741387
ACHN_Re,0.809580939,0.927435505,0.90591077,0.434117422,0.889497201,0.804879161,0.927400254,0.665558248,0.575173102,0.600737423,0.683384539,0.325871613,0.284519026,0.305393023,0.791592204,0.412102732,0.543742596,1,0.797873807,0.607612018,0.295108351,0.709001548,0.063029796,0.072044897,0.458952262,0.259672784,0.197180664,0.568788653,0.344087386,0.873233467,0.46490585,0.346586849,1,0.780896074,0.894521124,0.314294956,0,0.403689784,1,0.585529322,0.158781627,0.074093959,0.022054831,0.090783732,0.138397852,0.19431297,0.619691183,0.505282868,0.499551173,0.099358898,0.3127244,0.150303776,0,0.653276099,0.314660804,0.171109836,0.515062395,0.229123309,0.815047818,0.03964708,0.421141392,0.397662803,0.164453892,0.176393302,0.178191007,0.487907536,0.916189367
BSY-1_Br,0.377839202,0.362254194,0,0,0.595824747,0.939409608,0.303753808,0.616620421,0.409809382,0.390411327,0.546221669,0.964771143,1,0.280943816,0,0.533590172,0.352066139,0.33317793,0.262888807,0.382808969,0.756125697,0.858714583,0.978988455,1,0.652960106,0.897176715,0,0.578531178,0.381226221,0,0.974017977,0.773720842,0.347608917,0.1722317,0.496001273,1,0,0.699382991,0.367008578,0.568064187,0.266676288,0.099268161,0.813525994,0.66270634,0.691860537,0.894219536,0.784027412,0.914562422,0.732455227,1,1,0.864045226,0.198239663,0.678087665,0.423446678,0.730350107,0.996625483,0.142866303,0.687085781,1,1,0.768079049,0.146072563,0.891617853,0.956275932,0.795941822,0.437709798
DMS114_Lu,0.523110917,0.576459992,1,0,0.217137032,0.784161847,0.670396745,0.678393399,0.580560748,0.461546409,0.651983298,0.927815486,0.996724807,0.692888184,0.772133356,0.795684437,0.406681465,0.367349643,0.564947699,0.603478491,0,0.616446892,1,0.938814377,0.598747793,0.895086698,0.354609795,0.185137381,0.903480959,0.929982095,0.971504764,0.324419008,1,1,0.917219463,0.862858991,0.001900336,0.876562446,0.673490218,0.504339807,0.404722312,0.123112143,0.279928077,1,0.390820621,0.133817248,0.853789936,0.706711346,0.719626397,0.110553748,0.370518786,0.193597828,0,0.770228204,0.261099754,1,0.828087715,0.292618517,0.835441749,1,1,0.189796564,0.143816852,0.909749374,0.213021547,0.575706329,0.969234118
DMS273_Lu,0.749618099,0.737704834,0.568536524,0.683867526,0.753983735,0.980537178,0.894795819,0.720544294,0.557621147,0.70471386,0.789733235,0.969429996,0.939370379,0.929273126,0.776029121,0.896788144,0.518714352,1,0.675306126,0.55286464,0.281120945,0.732843462,0.97112379,0.91656243,0.853771763,0.905999869,0.278518045,0.632395182,0.506119466,0.649853947,0.947197244,0.306570386,1,0.627535534,0.81410346,0.862858991,0,0.6356119,0.887118941,0.627696849,0.060278353,0.061976434,0.506826477,0.207784206,0.536413949,0.327904564,0.965726136,0.889893295,0.701722688,0.046556775,0.529892349,0.286283492,0.32935715,0.675792115,0.221471986,0.165392751,0.50184336,0.535806594,0.674130586,0.060051333,0.111607988,0.540083196,0,0.266146064,0.076245882,0.743201059,0.807770473
DU-145_xPg,0.665344279,0.480082329,0.510350205,0.694693255,0.809079009,0.788317613,0.273246722,0.646936303,1,0.597769864,0.671631441,0.483904189,0.766529687,1,0.826229754,1,0.925309717,1,0.659769101,1,0,0.688103208,0.950380842,0.825341582,0.56960377,0.810960965,0,0.858613375,0.517202841,1,0.902422563,0.324134911,0.933489836,0.743685839,0.909931931,0.451435965,0,0.773392918,0.859727028,0.279068226,0.218046072,0,0,0.025398841,0,0.229722101,0.541660861,0.73329674,0.54079071,0.344499136,0.218668102,0.334034581,0,0.644292379,0.370022734,0.154915549,0.656067873,0.07482804,0.755771311,0.041822785,0.399981914,0.284032352,0.04711342,0.166817839,0.319019911,0.448498029,0.879596912
HBC-4_Br,0.331934952,0.160605547,0,0.311279128,0.535668845,0.918519784,0.378371166,0.626431454,0.583630224,0.408251326,0.405249036,0.84342127,0.859110893,0.579401108,0.817504306,0.832345001,0.479646052,0.469588644,0.215952656,0.376125888,0,0.501448318,0.891364306,0.843100438,0.415009195,0.729307744,0,0.257931966,0.177626364,0.538957483,0.776685233,0.414652008,0.671779385,0.693664247,0.810213113,1,0,0.48584943,0.336553008,0.615006675,0.254953735,0.034629637,0.082177568,0.018056231,0.176488238,0.59553558,0.654969929,0.870221309,0.41564789,0,0.031342969,0.442143329,0,0.628642417,0.440672874,0.218460109,0.91584189,0.201952516,0.451879968,1,1,0.298508995,0.366973469,0.052037061,0.400255459,0.334905443,0.465705607
HBC-5_Br,0.265240886,0.23599242,0,0,0.796191319,0.838358869,0,0.488547835,0.336505631,0.310658463,0.124833207,0.171886491,0.593188013,0.035643585,0,0.313437775,0.166574478,0.607295468,0.182139712,0,0.593393154,0.802483758,0.890108068,0.823425357,0.571928334,0,0,0.287546868,0,0,0.011378917,0.546484965,0,0,0,0.564562458,0,0.723682943,0.782609949,1,0.152874414,0.08693592,0.147508508,0.320988935,0.524574821,0.841109713,0.739855018,0.606354143,1,0.150544861,0.815514637,0.619337565,0,0.779486672,0.608425729,0.807369992,0.532241768,0.130507985,0.66047403,1,1,0.666009513,0,0,0.226498782,0.812453904,0
HCC2998_Co,0.336838155,0.363435668,0,1,0.275936582,0.573899384,0,0.459289971,0.34885206,0.339143234,0.512438421,0.49375174,0.810746643,0.567082911,0.774133199,0.6291054,0.143464586,0.218103872,0.25984436,0.2516126,0,0.238856956,0.943263731,0.882864104,0.267441598,0.790854485,0.073822534,0.820262596,0.223928556,0.015811492,0.805690796,0.523854871,0,0,0.417867474,0.519964836,0.017100191,0.316784324,0.47243933,0.254103117,0.554845776,0.11862434,0.590700295,0.068982334,0.55730617,0.499598807,0.79981234,0.541621077,0.490782796,0.149503215,0.750479302,0.271160388,0,0.661532845,0.216501782,0.162090548,0.702073741,0.850434075,0.415744241,1,1,0.508090424,1,0.156312785,0,0.369883375,0.418635383
HCT-116_Co,0.405346458,0.37329,0.772924062,0.685541044,0.856490821,0.978309064,0.381355675,0.612559312,0.470700834,0.348875164,0.352145384,0.874514177,0.85957911,0.551981726,1,0.815597339,0.316246058,1,0.34752871,0.344759869,0,0.25677316,0.972936926,0.902524964,0.771819509,0.784294822,0.209782324,0.698598122,0.388733734,0.786369141,0.834462774,0.220019949,1,0.794336624,0.686089085,0.011654524,0.025551931,0.230895325,0.546003421,0.383697479,0.235562756,0.074861928,0.287769241,0.588177292,0.440296554,0.093919211,0.717374161,0.547750296,0.5349881,0.069331262,0.316393716,0.113340128,0,0.517688889,0.186609498,0.399919726,0.338765946,0.4378187,0.524954464,0.038298896,0.091689756,0.202895266,0.453471987,1,0.141660923,0.147782345,0.617466758
HCT-15_Co,0.305217493,0.398338309,0,0.44419839,0.398998396,0.400489126,0.041618654,0,0,0.226766663,0.416442011,0.119838246,0.109980307,0.48425958,0.812336105,0.496575268,0.085402516,0.17566735,0.254631842,0.000375681,0,0.157058105,0.443351456,0.48631138,0.58571016,0.80806791,0,0.418233752,0.189426321,0,0.443326887,0.144683665,0.066301097,0,0.142675453,0.155498208,0,0.419982658,0.417920173,0.196107758,0.134781086,0.099817481,0.557012722,0.05625313,0.463576053,0.279603488,0.69847746,0,0,0.169137202,0.282169433,0.296449271,0,0.613440551,0.123421338,0.113312367,0.557431793,0.932196727,0.391585243,0.034205439,0.225174955,0.341702085,0.119757733,0.189351228,0.251849221,0.497899,0.274047219
HT-29_Co,0.324121837,0.077317201,0,0.391622504,0.416408183,0.83138818,0,0.409486582,0.324592567,0.298686702,0.273393266,0.891186061,0.878536011,0.493542371,0.793877035,0.549305465,0.155216023,0.256503179,0.226546222,0.172842665,0,0.083334014,0.962914323,0.894737084,0.398377149,0.778163802,0.009951459,0.401357122,0.196923571,0,0.837741349,0.171442503,0.369251481,0,0.320948681,0.014150363,0.122549056,0.181907571,0.146919936,0.134250725,0.41229401,0.06939373,0.485579012,0.078716928,0.375221786,0.462396859,0.75033107,0.406184781,0.538134796,0.127687777,0.59575896,0.278179605,0,0,0.150778121,0.725059802,0.474621347,0.673811027,0.012372811,0.221892204,0.180582014,0.467317634,0.803775865,0.071999768,0.011275993,0.442548476,0.409383091
KM-12_Co,0.275184917,0.010606956,0,0.520392339,0.439762752,0.872464848,0.097930539,0.442306579,0.321069379,0.153056652,0.395158135,0.898095867,0.901861418,0.477075057,0.797154156,0.407323127,0.173066421,0.216776023,0.255919348,0.12072619,0,0.047352938,0.959474029,0.89087955,0.145184753,0.972318757,0,0.645545317,0.207087971,0,0.868332417,0.101702948,0,0,0.385183434,0.046336705,0,0.152203911,0.380759195,0,0.270929838,0.06996933,0.916836327,0.107704654,1,0.329274037,0.812453879,0.724220142,0.641257327,0,0.337451565,0,0,0.599135985,0.082362239,0.651724368,0.358401491,1,0.37419862,0.266282456,0.145423089,0.186976799,0.436292734,0.135215932,1,0.130035558,0.413458879
LOX-IMVI_Me,0.530259275,0.599032516,0.761762914,0.557450893,0.482371406,0.990208105,0.676630803,0.618318507,0.491680174,0.36215335,0.612314418,0.814057302,0.659404064,0.99338046,1,0.949277964,0.367644111,0.378720823,0.464661839,0.406277633,0.304312959,0.59539577,0.058317838,0.058682887,0.388738455,0.558734906,0,0.741997261,0.319361201,0.576320253,0.714411849,0.241638678,0.868838551,0.657467051,0.823815137,0.862858991,0,0.53522476,0.747169057,0.399068457,0.166342877,0.148170924,0.128117609,0.620842233,0.434396788,0.444490072,0.931649698,0.336953824,0.645306962,0.393950499,0.54457963,0.611807587,0,0.723423391,0.177409092,0.279275923,1,0.772756854,0.889364096,1,1,0.474356668,0.238578992,0.178694875,0.169833847,0.544602768,0.887510862
MCF-7_Br,0.556289634,0.778147455,0.738884138,0.687335747,0.812103878,1,0.21862298,0.842325427,0.686783132,0.580246052,0.847877204,0.882154403,0.949001017,0.764602138,0.90542443,0.678077876,1,1,0.59349081,0.720175645,0,0.45982146,0.938254588,0.88575591,0.659732875,0.755148367,0.451866329,0.759522305,0.733089452,0.821476796,0.888655453,0.435628099,1,0.714510417,0.936720179,0.571510939,0.025537864,0.782117629,0.802321721,0.132026536,0.148593811,0.096982041,0.039514406,0.197785346,0.182669162,0.445971468,0.83384051,0.509032711,0.508412329,0.724619905,0.685548609,0.920409294,0.153415274,0.548266235,0.382608009,0.515216904,0.598356773,0.058451123,0.385510191,1,1,1,0.062045988,0.103669367,0.12434666,0.763881945,1
MDA-MB-231_Br,0.185683462,0.226709395,0,0,0.693924202,0.795085038,0,0.391230921,0.285715648,0.002368494,0.213942651,0.747743997,0.794727093,0.446452724,0,0.823302416,0.401594507,0.677968752,0.151032928,0.09102269,0,0.048912591,0.736412682,0.729249006,0.228799456,0.71290929,0,0.350509641,0.185169571,0,0.766910829,0.154765493,0.323639599,0,0.05994223,0,0.050172972,0.621381886,0.194660356,0.027901332,0.532172211,0.071841264,0.103931736,0.039890872,0.396412571,0.236797067,0.61817852,0.399884955,0.481043159,0.183876855,0.296053984,0.151301976,0.074019693,0.645197177,0.282125414,0.323302041,0.599813694,0.276672914,0.700601469,0.018757732,0,0,0.599769171,0.165775012,0.247587383,0.263987145,0.077410076
MKN1_St,0.316226552,0.462895043,0,0.172140224,0.550883264,0.874903004,0.24100504,0.682240988,0.59320618,0.032009231,0.727887711,0.919649783,0.925582599,0.534349957,0.513540766,0.800654169,0.437097811,0.464188152,0.494609034,0.217218265,0.361723183,0.796838349,0.898716294,0.814805707,0.383506601,0.710822513,0,0.411172472,0.498918834,0.440964467,0.815945602,0.450702478,0.503698283,0.496170492,0.296527436,0.451435965,1,0.396796283,0.269759789,0.647012294,0.23427387,0.14229239,0.289556951,0.099438103,0.473383247,0.665530495,0.808015247,0.809323693,0.539123631,0.291331239,0.369352614,0.675563084,0,0.894431642,0.200966803,0.275847868,0.861638127,0.169362264,0.926333804,1,1,0.858652324,0.182421272,0.846464123,0,0.753430646,0.274373349
MKN28_St,0.256981048,0,0,0.184316361,0.649464494,0.80079437,0,0.44692652,0.368165445,0.058828981,0.234525762,0.87851163,0.829123393,0.50974262,0,0.487401217,0.268395494,0.273433726,0.11389903,0.027954473,0,0.081419284,0.877252442,0.832984004,0.213369111,0.782516872,0,0.4428,0.226729959,0,0.806081298,0,0,0,0.224395375,0.098873264,0,0.057847003,0.282799054,0.169035093,0.212930252,0.09442376,0.013507662,0.666605914,0.162297677,0.103103723,0.808508668,0.516558037,0.540737322,0.357548202,0.354458566,0.178893209,0,0.439900909,0.093157935,0.767153936,0,0.089116409,0.272867924,0.007583763,0.072393878,0.071349323,0.120537813,0.269235408,0,0,0.237869175
MKN45_St,0.418927314,0.607709764,0.804571332,0.828903237,1,0.956361081,0.259069172,0.694100901,0.568319142,0.672551597,0.588237906,0.595937045,0.752409296,0.353984447,0.776662299,0.497385296,0.931125566,1,0.557834417,0.718795419,0.402654904,0.627124812,0.890450658,0.881932518,1,0.754504806,0.206748892,1,0.608697645,0.99204194,0.746877205,0.374517595,1,0.887735276,1,0.243703643,0,0.558724483,0.897983128,0.56869762,0.320553376,0.037174524,0.593683923,0.115433122,0.487060197,0.679320272,0.69256112,0.737654967,0.518484228,0.088124031,0.97504674,0.504473393,0,0.866279517,0.287562838,0.929667079,0.76276462,0.931626552,0.565496831,1,1,0.655485679,0.491117152,0.07823792,0,0.781390537,1
MKN7_St,0.289358631,0.422551952,0,0.306772679,0.567451933,0.907141931,0.136200814,0.566826799,0.487866286,0.198279175,0.295639757,0.75331534,0,0.314856271,0,0.495952961,0.299592502,0.673154806,0.23871851,0.368919128,0,0.373356519,0.072127789,0.058767143,0.301613403,0.70677961,0,0.48180375,0.221278455,0,0.001965291,0.117384029,0.125873108,0.450200336,0.239759169,0.122734909,0,0.217490651,0.29636004,0.409450356,0.22969436,0.102848677,0.094996771,0.638084714,0.378419019,0.541969111,1,0.523442495,0.85783298,0.58509411,0.415631578,0.292788455,0,0.662602808,0.246115943,0.486181184,0.268309365,0.069260363,0.469771598,0.114632415,0.237383752,0.547701535,0.29161615,0.249514489,0.00848832,0.327863509,0.251840168
MKN74_St,0.231314708,0,0,0.237021353,0.596348012,0.903370018,0.080620042,0.420176679,0.334460657,0.187217688,0.134311969,0.86767941,0.922422883,0.470789815,0,0.604572899,0.314615621,0.162647461,0.153255041,0.061765093,0,0,0.75978241,0.812347774,0.192661217,0.706764707,0.018461477,0.516250091,0.237178653,0.104832363,0.857357215,0.242348625,0.32242939,0,0.19466183,0.148652269,0,0.207904467,0.202374438,0.117069974,0.251458827,0.079515908,0.062840002,0.564205872,0.142941019,0.387444611,0.974889779,0.500896999,0.667628707,0.481567962,0.46680499,0.450076715,0,0.552768404,0,0.702858282,0.241282558,0,0.472849627,0.691272333,0.163622861,0.32399015,0.15242001,0.290384399,0.31654054,0.24653743,0.189158775
